,id,trade_date,code,open,high,low,close,volume,turn,tradestatus,isST,totals,isHighOfYear,isHighOfHistory,isLowOfyear,isLowOfHistory,incOf250,incOf120,incOf50,rps120,rps250,rps50,fluOf250d,fluOf120d,fluOf80d,fluOf10d,fluOf5d,diffToHigh250,diffToHigh120,diffToHigh80,sps120,sps250,sps80,ma5,ma10,ma20,ma50,ma120,ma250,turn10ma,turn50ma,turnIncToYesterday,turnIncTo50Day,peTTM,curNumPeTTM1Y,curNumPeTTM3Y,curNumPeTTM5Y,curNumPeTTMALL,hk_holding_amount,hh_holding_ratio,diffTohigh250,diffTohigh120,diffTohigh80,turnIncToYesterDay
0,6051962,2011-01-04,600532,9.011,9.919,8.912,9.801,11218278,7.376,1,0,50.573,0,0,0,0,,,,,,,,,,,,31.425,31.425,31.425,,,,,,,,,,,,,,-115.073,,,,,,,,,,
1,6051963,2011-01-05,600532,9.682,10.363,9.593,9.751,12679513,8.336,1,0,50.315,0,0,0,0,,,,,,,,,,,,32.099,32.099,32.099,,,,,,,,,,,,,,-114.494,,,,,,,,,,
2,6051964,2011-01-06,600532,9.574,10.107,9.406,9.574,5887692,3.871,1,0,49.402,0,0,0,0,,,,,,,,,,,,34.541,34.541,34.541,,,,,,,,,,,,,,-112.408,,,,,,,,,,
3,6051965,2011-01-07,600532,9.584,9.584,9.287,9.366,3847426,2.53,1,0,48.329,0,0,0,0,,,,,,,,,,,,37.529,37.529,37.529,,,,,,,,,,,,,,-109.974,,,,,,,,,,
4,6051966,2011-01-10,600532,9.366,9.505,9.13,9.268,2181958,1.435,1,0,47.823,0,0,0,0,,,,,,,,,,,14.00173694876,38.984,38.984,38.984,,,,9.552,,,,,,,,,,-108.815,,,,,,,,,,
5,6051967,2011-01-11,600532,9.258,9.258,8.893,9.08,2039943,1.341,1,0,46.853,0,0,0,0,,,,,,,,,,,14.185081540094558,41.861,41.861,41.861,,,,9.4078,,,,,,,,,,-106.614,,,,,,,,,,
6,6051968,2011-01-12,600532,8.982,9.11,8.982,9.06,1366549,0.898,1,0,46.75,0,0,0,0,,,,,,,,,,,12.01147719402393,42.174,42.174,42.174,,,,9.2696,,,,,,,,,,-106.382,,,,,,,,,,
7,6051969,2011-01-13,600532,9.08,9.199,9.07,9.09,1331098,0.875,1,0,46.904,0,0,0,0,,,,,,,,,,,7.209933222036717,41.705,41.705,41.705,,,,9.1728,,,,,,,,,,-106.73,,,,,,,,,,
8,6051970,2011-01-14,600532,9.13,9.613,9.08,9.505,5528100,3.635,1,0,49.046,0,0,0,0,,,,,,,,,,,7.489857484656183,35.518,35.518,35.518,,,,9.200600000000001,,,,,,,,,,-111.597,,,,,,,,,,
9,6051971,2011-01-17,600532,9.386,9.82,9.228,9.663,7403827,4.868,1,0,49.861,0,0,0,0,,,,,,,,,,14.185081540094558,9.439918533604883,33.302,33.302,33.302,,,,9.279599999999999,9.415799999999999,,,,,3.5164999999999997,,,,-113.451,,,,,,,,,,
